Nodes,Trial,Runtime (s),CPU Time (s),Throughput,Peak RAM (MB),Best Cut,Average Cut,Approximation Ratio
4,1,0.010981800005538389,0.0,364.23901345705644,153.7421875,4,3.243756243756244,1.0
4,2,0.010206000006292015,0.015625,391.9263176106206,153.7421875,4,3.1768231768231767,1.0
4,3,0.010130100010428578,0.015625,394.8628341163604,153.7421875,4,3.236763236763237,1.0
4,4,0.009924600017257035,0.015625,403.0389127062797,153.7421875,4,3.1998001998001997,1.0
4,5,0.010560700000496581,0.0,378.7627713893884,153.7421875,4,3.2507492507492506,1.0
4,6,0.011423699994338676,0.015625,350.1492512918151,153.7421875,4,3.2357642357642358,1.0
4,7,0.012025100004393607,0.015625,332.63756630202835,153.7421875,4,3.2287712287712287,1.0
4,8,0.01089730000239797,0.0,367.0634009451693,153.7421875,4,3.231768231768232,1.0
4,9,0.0102513000019826,0.015625,390.1944142914948,153.7421875,4,3.295704295704296,1.0
4,10,0.010499399999389425,0.015625,380.9741509260161,153.7421875,4,3.1998001998001997,1.0
6,1,0.01453439999022521,0.015625,412.8137387188441,153.7421875,7,4.941058941058941,1.0
6,2,0.013860899984138086,0.015625,432.87232480330886,153.7421875,7,5.036963036963037,1.0
6,3,0.01364409999223426,0.015625,439.75051512485163,153.7421875,7,4.974025974025974,1.0
6,4,0.014979600004153326,0.015625,400.54474073649544,153.7421875,7,5.143856143856143,1.0
6,5,0.015609099995344877,0.015625,384.3911565554316,153.7421875,7,4.9710289710289715,1.0
6,6,0.0150205000245478,0.015625,399.45407877196374,153.7421875,7,4.963036963036963,1.0
6,7,0.013613899995107204,0.0,440.72602282640406,153.7421875,7,5.100899100899101,1.0
6,8,0.014901399990776554,0.015625,402.646731428845,153.7421875,7,5.180819180819181,1.0
6,9,0.013701400021091104,0.0,437.9114536298454,153.7421875,7,5.035964035964036,1.0
6,10,0.012605099997017533,0.0,475.997810522697,153.7421875,7,5.12987012987013,1.0
8,1,0.02101659998879768,0.03125,380.65148521950175,153.7421875,10,6.574425574425574,1.0
8,2,0.019774300017161295,0.015625,404.565521563703,153.7421875,8,6.4585414585414584,1.0
8,3,0.019916899997042492,0.015625,401.66893448217036,153.7421875,10,6.740259740259741,1.0
8,4,0.020276499999454245,0.03125,394.54540972136834,153.7421875,10,6.732267732267732,1.0
8,5,0.019538399996235967,0.015625,409.4501085831585,153.7421875,10,6.816183816183816,1.0
8,6,0.020301700016716495,0.015625,394.0556698903427,153.7421875,10,6.796203796203796,1.0
8,7,0.02049819999956526,0.03125,390.27817077449095,153.7421875,10,6.542457542457543,1.0
8,8,0.020559500000672415,0.015625,389.11452125481424,153.7421875,10,6.636363636363637,1.0
8,9,0.02027410001028329,0.015625,394.59211486291844,153.7421875,10,6.688311688311688,1.0
8,10,0.018583099998068064,0.015625,430.4986789519346,153.7421875,10,6.441558441558442,1.0
10,1,0.03934980000485666,0.046875,254.13089771144382,153.7421875,13,8.693306693306694,1.0
10,2,0.03967089997604489,0.046875,252.07393847980404,153.7421875,13,8.304695304695304,1.0
10,3,0.03661609999835491,0.03125,273.10390785608735,153.7421875,13,8.415584415584416,1.0
10,4,0.03769910000846721,0.03125,265.25832175712424,153.7421875,13,8.334665334665335,1.0
10,5,0.0380754999932833,0.046875,262.6360783644088,153.7421875,12,8.316683316683317,1.0
10,6,0.039666399999987334,0.03125,252.1025351431739,153.7421875,13,8.609390609390609,1.0
10,7,0.03976220000186004,0.046875,251.49513858720618,153.7421875,13,8.312687312687313,1.0
10,8,0.03817919999710284,0.03125,261.9227223398822,153.7421875,13,8.387612387612387,1.0
10,9,0.040918399987276644,0.046875,244.38883248390567,153.7421875,13,8.376623376623376,1.0
10,10,0.039602700009709224,0.046875,252.50803600634157,153.7421875,13,8.360639360639361,1.0
12,1,0.1309027000097558,0.09375,91.67114199405876,153.7421875,16,10.290709290709291,1.0
12,2,0.1209073000063654,0.125,99.24959038344447,153.7421875,16,10.211788211788212,1.0
12,3,0.12608889999683015,0.125,95.17094685021185,153.7421875,15,10.12087912087912,1.0
12,4,0.12029449999681674,0.125,99.75518415486616,153.7421875,16,10.468531468531468,1.0
12,5,0.12515020000864752,0.109375,95.88478483590785,153.7421875,15,9.876123876123875,1.0
12,6,0.12702710001030937,0.125,94.4680308298473,153.7421875,15,10.161838161838162,1.0
12,7,0.13091540001914836,0.125,91.66224904208991,153.7421875,15,10.394605394605394,1.0
12,8,0.13082799999392591,0.125,91.723484273681,153.7421875,16,10.035964035964035,1.0
12,9,0.13190190002205782,0.125,90.9767031255293,153.7421875,15,9.877122877122877,1.0
12,10,0.12932659999933094,0.140625,92.78833588807005,153.7421875,16,10.093906093906094,1.0
