protocol,key_size,trial,runtime_seconds,cpu_time_seconds,peak_ram_mb,key_gen_rate,attack_scenario,attack_rate,success
Diffie-Hellman,1000,1,0.01950250007212162,0.015625,0.0029754638671875,51275.47731326392,MITM_0,0.0,True
Diffie-Hellman,1000,2,0.018538299947977066,0.015625,0.004145622253417969,53942.378902393466,MITM_0,0.0,True
Diffie-Hellman,1000,3,0.025830899947322905,0.03125,0.0035400390625,38713.32404365722,MITM_0,0.0,True
Diffie-Hellman,1000,4,0.025050800060853362,0.015625,0.003604888916015625,39918.884729062614,MITM_0,0.0,True
Diffie-Hellman,1000,5,0.026990499929524958,0.03125,0.003604888916015625,37050.07327063617,MITM_0,0.0,True
Diffie-Hellman,1000,6,0.028770800097845495,0.03125,0.003719329833984375,34757.46230897782,MITM_0,0.0,True
Diffie-Hellman,1000,7,0.020753599936142564,0.015625,0.003711700439453125,48184.411527490796,MITM_0,0.0,True
Diffie-Hellman,1000,8,0.020048800040967762,0.03125,0.003498077392578125,49878.29685350733,MITM_0,0.0,True
Diffie-Hellman,1000,9,0.021851499914191663,0.015625,0.003704071044921875,45763.448913204375,MITM_0,0.0,True
Diffie-Hellman,1000,10,0.021908800001256168,0.015625,0.003780364990234375,45643.75958257247,MITM_0,0.0,True
Diffie-Hellman,1000,1,0.021423800033517182,0.03125,0.003871917724609375,46677.06001902167,MITM_25,0.25,True
Diffie-Hellman,1000,2,0.02392509998753667,0.015625,0.00334930419921875,41797.108497809044,MITM_25,0.25,True
Diffie-Hellman,1000,3,0.022096400032751262,0.03125,0.00373077392578125,45256.24076853247,MITM_25,0.25,True
Diffie-Hellman,1000,4,0.01872129994444549,0.015625,0.003753662109375,53415.09419577964,MITM_25,0.25,True
Diffie-Hellman,1000,5,0.011848599999211729,0.015625,0.00385284423828125,84398.1567498716,MITM_25,0.25,True
Diffie-Hellman,1000,6,0.021962300059385598,0.015625,0.003757476806640625,45532.57160206449,MITM_25,0.25,True
Diffie-Hellman,1000,7,0.026637300034053624,0.03125,0.003780364990234375,37541.3423553281,MITM_25,0.25,True
Diffie-Hellman,1000,8,0.03237020003143698,0.03125,0.0042877197265625,30892.61107527385,MITM_25,0.25,False
Diffie-Hellman,1000,9,0.02245189994573593,0.015625,0.003345489501953125,44539.66044819829,MITM_25,0.25,True
Diffie-Hellman,1000,10,0.020925199962221086,0.03125,0.0036163330078125,47789.26852815871,MITM_25,0.25,True
Diffie-Hellman,1000,1,0.018843999947421253,0.015625,0.0037689208984375,53067.28947093035,MITM_50,0.5,True
Diffie-Hellman,1000,2,0.022907299920916557,0.015625,0.003871917724609375,43654.20645175664,MITM_50,0.5,True
Diffie-Hellman,1000,3,0.03411060001235455,0.046875,0.0043182373046875,29316.40016997089,MITM_50,0.5,False
Diffie-Hellman,1000,4,0.03152209997642785,0.03125,0.004413604736328125,31723.774772232733,MITM_50,0.5,False
Diffie-Hellman,1000,5,0.021117499913088977,0.015625,0.003833770751953125,47354.09040443198,MITM_50,0.5,True
Diffie-Hellman,1000,6,0.019379999954253435,0.015625,0.003803253173828125,51599.5873251034,MITM_50,0.5,True
Diffie-Hellman,1000,7,0.03293870005290955,0.03125,0.00452423095703125,30359.42518659499,MITM_50,0.5,False
Diffie-Hellman,1000,8,0.023121700040064752,0.03125,0.003093719482421875,43249.41497671983,MITM_50,0.5,True
Diffie-Hellman,1000,9,0.020818900084123015,0.015625,0.00373077392578125,48033.2772605323,MITM_50,0.5,True
Diffie-Hellman,1000,10,0.028238600003533065,0.03125,0.0035400390625,35412.52044629993,MITM_50,0.5,False
Diffie-Hellman,1000,1,0.028254700009711087,0.03125,0.004364013671875,35392.34179291593,MITM_100,1.0,False
Diffie-Hellman,1000,2,0.028865100000984967,0.015625,0.0038604736328125,34643.91254372501,MITM_100,1.0,False
Diffie-Hellman,1000,3,0.033179399906657636,0.046875,0.003826141357421875,30139.182830710095,MITM_100,1.0,False
Diffie-Hellman,1000,4,0.02796089998446405,0.015625,0.004405975341796875,35764.22792383762,MITM_100,1.0,False
Diffie-Hellman,1000,5,0.026738999993540347,0.03125,0.004016876220703125,37398.55642475716,MITM_100,1.0,False
Diffie-Hellman,1000,6,0.02723919996060431,0.03125,0.00421142578125,36711.797756405715,MITM_100,1.0,False
Diffie-Hellman,1000,7,0.031166599947027862,0.03125,0.004215240478515625,32085.63018422428,MITM_100,1.0,False
Diffie-Hellman,1000,8,0.02831049996893853,0.015625,0.00403594970703125,35322.583532511664,MITM_100,1.0,False
