Array Size,Trial,Runtime (s),CPU Time (s),Throughput (elements/s),Peak RAM (MB),Comparisons,Found
8,1,1.3599987141788006e-05,0.0,588235.8502692106,112.76171875,8,False
8,2,7.099995855242014e-06,0.0,1126761.2211482492,112.76171875,8,False
8,3,5.4000120144337416e-06,0.0,1481478.185347871,112.76171875,8,False
8,4,4.3000036384910345e-06,0.0,1860463.542027926,112.76171875,8,False
8,5,4.3000036384910345e-06,0.0,1860463.542027926,112.76171875,8,False
8,6,4.3000036384910345e-06,0.0,1860463.542027926,112.76171875,8,False
8,7,4.2000028770416975e-06,0.0,1904760.5999819834,112.76171875,8,False
8,8,3.9000005926936865e-06,0.0,2051281.7395431446,112.76171875,8,False
8,9,3.9000005926936865e-06,0.0,2051281.7395431446,112.76171875,8,False
8,10,3.6999990697950125e-06,0.0,2162162.705744468,112.76171875,8,False
16,1,5.699985194951296e-06,0.0,2807024.834761297,112.76171875,16,False
16,2,5.1000097300857306e-06,0.0,3137248.916529232,112.76171875,16,False
16,3,5.1000097300857306e-06,0.0,3137248.916529232,112.76171875,16,False
16,4,4.9000082071870565e-06,0.0,3265300.653278927,112.76171875,16,False
16,5,4.8000074457377195e-06,0.0,3333328.16269016,112.76171875,16,False
16,6,4.8000074457377195e-06,0.0,3333328.16269016,112.76171875,16,False
16,7,4.799978341907263e-06,0.0,3333348.3737433758,112.76171875,16,False
16,8,4.5000051613897085e-06,0.0,3555551.4774251548,112.76171875,16,False
16,9,4.7000066842883825e-06,0.0,3404250.477661294,112.76171875,16,False
16,10,4.7000066842883825e-06,0.0,3404250.477661294,112.76171875,16,False
24,1,7.700000423938036e-06,0.0,3116882.9452772425,112.76171875,24,False
24,2,6.599992047995329e-06,0.0,3636368.0176387066,112.76171875,24,False
24,3,6.399990525096655e-06,0.0,3750005.5517093977,112.76171875,24,False
24,4,6.299989763647318e-06,0.0,3809529.99931629,112.76171875,24,False
24,5,6.499991286545992e-06,0.0,3692312.6419686754,112.76171875,24,False
24,6,6.400019628927112e-06,0.0,3749988.4987107953,112.76171875,24,False
24,7,6.499991286545992e-06,0.0,3692312.6419686754,112.76171875,24,False
24,8,6.300018867477775e-06,0.0,3809512.4006522936,112.76171875,24,False
24,9,6.400019628927112e-06,0.0,3749988.4987107953,112.76171875,24,False
24,10,6.400019628927112e-06,0.0,3749988.4987107953,112.76171875,24,False
32,1,7.199996616691351e-06,0.0,4444446.532907555,112.76171875,32,False
32,2,6.89999433234334e-06,0.0,4637684.968812479,112.76171875,32,False
32,3,6.89999433234334e-06,0.0,4637684.968812479,112.76171875,32,False
32,4,7.099995855242014e-06,0.0,4507044.884592997,112.76171875,32,False
32,5,6.80002267472446e-06,0.0,4705866.661142664,112.76171875,32,False
32,6,6.799993570894003e-06,0.0,4705886.802153685,112.76171875,32,False
32,7,6.80002267472446e-06,0.0,4705866.661142664,112.76171875,32,False
32,8,6.699992809444666e-06,0.0,4776124.5288041355,112.76171875,32,False
32,9,6.699992809444666e-06,0.0,4776124.5288041355,112.76171875,32,False
32,10,6.799993570894003e-06,0.0,4705886.802153685,112.76171875,32,False
