Bits,Trial,Runtime (s),CPU Time (s),Throughput (bits/s),Peak RAM (MB),Shannon Entropy,Min Entropy,Chi-Squared,p-value
10000,1,0.00045779999345541,0.0,21843600.13752164,173.3671875,0.9999773784235225,0.9919434451289415,0.3136,0.5754794376980541
10000,2,0.00032320001628249884,0.0,30940592.500649255,173.3671875,0.9997171844372252,0.97171375692089,3.9204,0.04770352868301684
10000,3,0.0018053000094369054,0.0,5539245.525799958,173.3671875,0.999998586158398,0.9979816394656944,0.0196,0.8886599903881871
10000,4,0.0005068000173196197,0.0,19731648.891585134,173.3671875,0.9999441381270131,0.9873598192212296,0.7744,0.37885930955342406
10000,5,0.00046519999159500003,0.0,21496131.084855936,173.3671875,0.9995123141215677,0.962969269055033,6.76,0.009322376047437497
10000,6,0.0002930000191554427,0.0,34129690.60146985,173.3671875,0.9999666446335932,0.9902228783884701,0.4624,0.49650446090714095
10000,7,0.000305499997921288,0.0,32733224.445312425,173.3671875,1.0,1.0,0.0,1.0
10000,8,0.0002864999696612358,0.0,34904017.65774786,173.3671875,0.9999995383375377,0.9988463053836297,0.0064,0.9362372559720252
10000,9,0.0002858999650925398,0.0,34977269.04850517,173.3671875,0.9999219776456703,0.9850734557618972,1.0816,0.29833990066195987
10000,10,0.0004089000285603106,0.0,24455855.469633583,173.37109375,0.9999819662368479,0.9928044985957962,0.25,0.6170750774519739
20000,1,0.001275799993891269,0.015625,15676438.38827649,173.39453125,0.9999999350787221,0.9995672563960288,0.0018,0.9661587776582645
20000,2,0.0009485000045970082,0.0,21085925.04277051,173.39453125,0.9999981533495598,0.997693532616831,0.0512,0.8209881868018944
20000,3,0.00151709996862337,0.0,13183046.874721235,173.39453125,0.9999713695275212,0.9909395318436164,0.7938,0.3729535566618042
20000,4,0.0006585000082850456,0.0,30372057.324777707,173.39453125,0.9999998845843936,0.9994230373684795,0.0032,0.9548888938548752
20000,5,0.0010174000053666532,0.0,19657951.537745815,173.39453125,0.999854542597409,0.9796578204828141,4.0328,0.044623821359103935
20000,6,0.0012650999706238508,0.0,15809027.32148316,173.39453125,0.9999895837167362,0.9945281487899406,0.2888,0.5909905465803058
20000,7,0.000980100012384355,0.0,20406080.754294306,173.39453125,0.9999666446335932,0.9902228783884701,0.9248,0.33621779725863926
20000,8,0.0010425999644212425,0.0,19182812.854882646,173.39453125,0.999999971146099,0.9997114898418764,0.0008,0.9774354253081551
20000,9,0.0018005000310949981,0.0,11108025.356620923,173.39453125,0.9999833800893081,0.9930916306578225,0.4608,0.49725032930523494
20000,10,0.0009280000231228769,0.0,21551723.60092904,173.39453125,0.9999921445112446,0.9952469446001805,0.2178,0.640721345025641
40000,1,0.002570300013758242,0.0,15562385.630427938,173.421875,0.9999808679758169,0.9925891870453795,1.0609,0.30301000557668445
40000,2,0.002808299963362515,0.015625,14243492.69018472,173.59765625,0.9999998845843936,0.9994230373684795,0.0064,0.9362372559720252
40000,3,0.0016306000179611146,0.0,24530847.270574413,173.59765625,0.9999844026070299,0.993307017212885,0.8649,0.3523710844905157
40000,4,0.0026804000372067094,0.0,14923145.591985844,173.6015625,0.9999977908720912,0.9974774902312892,0.1225,0.7263386976487618
40000,5,0.0026156999520026147,0.0,15292273.8593834,173.6015625,0.9999947413701867,0.9961099725666281,0.2916,0.589197032431396
40000,6,0.0024095000117085874,0.0,16600954.47421717,173.640625,0.9999991271693243,0.9984139076459736,0.0484,0.8258711547035709
40000,7,0.0020253999973647296,0.0,19749185.371800356,173.6796875,0.9999823251102,0.9928762762540058,0.9801,0.322174119021659
40000,8,0.0012550000101327896,0.0,31872509.70282276,173.71875,0.9999992047142126,0.9984859649364459,0.0441,0.8336676730351154
40000,9,0.0012685999972745776,0.0,31530821.44563677,173.7578125,0.9999984833663067,0.9979096073593866,0.0841,0.7718162376022455
40000,10,0.001224899955559522,0.015625,32655728.182901602,173.796875,0.999999911634927,0.9994951450801469,0.0049,0.9441936596389577
80000,1,0.0042916000238619745,0.0,18641066.16534331,175.0625,0.999985392663411,0.9935224359287952,1.62,0.20309178757716426
80000,2,0.003844299993943423,0.0,20810030.467455078,175.5859375,0.9999998011785804,0.9992427838553833,0.02205,0.8819541644087981
80000,3,0.004332899989094585,0.0,18463384.846488696,175.59375,0.9999917833853011,0.995139102395422,0.91125,0.33978297435581617
80000,4,0.004318599996622652,0.015625,18524521.85026716,175.6015625,0.9999946435371893,0.9960740027587078,0.59405,0.44085726832725125
80000,5,0.004808500001672655,0.0,16637204.943781156,175.6015625,0.9999998845843936,0.9994230373684795,0.0128,0.9099218741589818
80000,6,0.005549900000914931,0.0,14414674.135896424,175.6015625,0.9999988273591194,0.9981617354676373,0.13005,0.7183802028399269
80000,7,0.006174400041345507,0.015625,12956724.453274433,175.6015625,0.999985392663411,0.9935224359287952,1.62,0.20309178757716426
80000,8,0.005730199976824224,0.0,13961118.342040375,175.6015625,0.9999987335838888,0.998089694369006,0.14045,0.7078340606485753
80000,9,0.00574709998909384,0.015625,13920064.058710383,175.6015625,0.9999990870443519,0.998377880350316,0.10125,0.750334710669989
80000,10,0.005228299996815622,0.0,15301340.789305368,175.6015625,0.999998780922347,0.9981257144686492,0.1352,0.7131002767842507
